bodies_cfg,threads_cfg,sync_frame_ms,async_frame_ms,gain_ms,gain_pct,predicted_ms,sync_physics_ms,sync_tick_ms,max_substeps,gain_rep_min,gain_rep_max,gain_pct_median,gain_pct_min,gain_pct_max,repeats
1000,4,4.464,4.521,-0.056999999999999496,-1.2768817204300962,0.260233,0.260233,0.89815025,1,-1.1907499999999995,1.9140499999999996,-3.5442313197824205,-26.674507168458767,29.79993772380507,3
2000,4,4.50475,4.548,-0.043250000000000455,-0.9600976746767403,0.33074125000000004,0.33074125000000004,2.0616742500000003,1,-0.18120000000000047,0.3352000000000004,-0.9600976746767403,-4.294296785202225,6.272983316334653,3
4000,4,11.148299999999999,9.74375,1.4045499999999986,12.598781877057478,1.480271,1.480271,5.89820425,1,1.2049500000000002,1.4186999999999994,12.385181355760084,10.808374370980331,12.709575406832723,3
8000,4,36.0503,29.69565,6.3546499999999995,17.627176472872623,10.554713999999999,10.554713999999999,18.01743275,3,5.831050000000001,7.295550000000006,17.627176472872623,17.55076917520219,17.86259934480176,3
12000,4,105.536125,54.06685,51.469274999999996,48.76934319883357,37.15727125,55.36913575,37.15727125,8,20.9944,20.9944,27.969691418674746,27.969691418674746,27.969691418674746,1
1000,27,4.9456500000000005,4.8088,0.1368500000000008,2.7670781393750223,0.4298835,0.4298835,0.9185872500000001,1,-0.47499999999999964,0.7309500000000009,2.7670781393750223,-10.758289545207456,13.989072084055017,3
2000,27,5.4719,4.9734,0.49849999999999994,9.110181107110876,0.5938245,0.5938245,2.0484495000000003,1,-1.6222000000000003,0.78965,5.881062939196594,-29.64600961274878,13.701946018167463,3
4000,27,11.84805,10.3087,1.5393500000000007,12.992433354011846,2.136945,2.136945,5.71571775,1,1.5265500000000003,1.5884500000000017,12.992433354011846,12.78574648250106,13.015009612802295,3
8000,27,45.195750000000004,31.878149999999998,13.317600000000006,29.46648744627538,17.56810975,17.56810975,18.87824875,5,8.516099999999998,13.317600000000006,24.761427279778207,22.174629667722957,29.46648744627538,3
12000,27,112.55850000000001,62.5326,50.02590000000001,44.44435560175376,36.84398325,65.51002150000001,36.84398325,8,50.02590000000001,50.02590000000001,44.44435560175376,44.44435560175376,44.44435560175376,1
